hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
10,25,7,2023,28.7,39,0,6.5,527.8
11,25,7,2023,29.8,38,0,9.3,661.9
12,25,7,2023,30.5,38,0,11.5,754.1
13,25,7,2023,31.4,32,0,12.7,796.7
14,25,7,2023,32.2,28,0,12.8,785.9
15,25,7,2023,31.4,31,0,9.9,723.2
16,25,7,2023,32.6,28,0,8.4,611.9
17,25,7,2023,33.1,29,4,3.4,466.4
18,25,7,2023,32.9,33,3,3.2,296.0
19,25,7,2023,32.0,36,1,4.8,141.7
20,25,7,2023,30.2,40,4,3.3,24.5
21,25,7,2023,27.8,46,0,5.1,0.0
22,25,7,2023,27.8,40,0,8.3,0.0
23,25,7,2023,26.9,42,0,9.1,0.0
0,26,7,2023,25.7,50,0,7.6,0.0
1,26,7,2023,24.3,57,0,6.3,0.0
2,26,7,2023,23.3,57,0,9.1,0.0
3,26,7,2023,23.1,53,0,8.2,0.0
4,26,7,2023,22.9,54,0,5.8,0.0
5,26,7,2023,22.0,58,0,6.3,0.0
6,26,7,2023,22.9,64,0,8.9,0.0
7,26,7,2023,24.3,66,0,10.7,51.7
8,26,7,2023,26.1,61,0,9.3,187.8
9,26,7,2023,28.6,47,0,10.2,362.2
10,26,7,2023,31.0,36,0,9.7,528.0
11,26,7,2023,32.9,30,0,10.8,664.3
12,26,7,2023,33.9,27,0,12.0,757.4
13,26,7,2023,34.7,24,0,11.6,800.8
14,26,7,2023,35.7,22,0,11.3,791.8
15,26,7,2023,36.4,26,0,16.3,728.8
16,26,7,2023,37.3,25,0,15.5,616.4
17,26,7,2023,38.1,23,0,12.5,473.3
18,26,7,2023,37.8,23,0,9.4,308.2
19,26,7,2023,36.5,26,0,11.4,145.0
20,26,7,2023,34.5,29,0,6.0,23.9
21,26,7,2023,34.1,27,1,12.1,0.0
22,26,7,2023,32.0,33,0,8.4,0.0
23,26,7,2023,29.6,43,5,6.9,0.0
0,27,7,2023,28.4,49,11,6.4,0.0
1,27,7,2023,27.4,56,15,7.7,0.0
2,27,7,2023,26.7,59,23,8.1,0.0
3,27,7,2023,28.2,56,86,5.5,0.0
4,27,7,2023,27.9,49,36,26.6,0.0
5,27,7,2023,27.4,56,40,27.0,0.0
6,27,7,2023,26.5,60,31,25.1,0.0
7,27,7,2023,25.7,64,73,21.0,12.1
8,27,7,2023,25.8,66,55,22.7,10.7
9,27,7,2023,26.2,66,31,26.7,13.1
10,27,7,2023,26.6,63,33,31.2,111.9
11,27,7,2023,27.3,60,25,35.0,468.7
12,27,7,2023,26.3,64,67,34.9,477.2
13,27,7,2023,26.5,59,60,32.1,385.2
14,27,7,2023,27.3,53,47,30.3,528.2
15,27,7,2023,27.7,48,62,21.5,319.7
16,27,7,2023,26.0,53,100,30.4,327.2
17,27,7,2023,24.4,58,30,30.8,163.0
18,27,7,2023,24.3,56,20,23.6,190.2
19,27,7,2023,22.8,59,38,20.1,100.7
20,27,7,2023,22.5,57,2,13.9,12.7
21,27,7,2023,21.8,64,7,9.7,0.0
22,27,7,2023,21.6,68,6,10.0,0.0
23,27,7,2023,21.6,68,1,7.4,0.0
0,28,7,2023,20.6,70,0,5.5,0.0
