hour,day,month,year,Consumption_kWh,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
2,23,7,2023,6.38428923739206,25.4,65,0,7.8,0.0
3,23,7,2023,6.140125235622159,27.0,59,0,3.7,0.0
4,23,7,2023,6.075501274931545,27.3,58,0,5.6,0.0
5,23,7,2023,6.341978176696132,27.7,55,1,4.6,0.0
6,23,7,2023,6.342298016600334,25.2,65,3,6.1,0.0
7,23,7,2023,6.154320579980371,26.8,61,29,12.8,44.0
8,23,7,2023,6.163296797418573,26.4,64,2,18.0,100.5
9,23,7,2023,6.3390688581625625,28.7,55,5,13.7,344.6
10,23,7,2023,5.919035288448823,31.1,46,0,7.1,482.6
11,23,7,2023,5.929190430229015,31.5,44,2,10.1,638.0
12,23,7,2023,6.101445318510044,33.1,40,0,8.8,710.2
13,23,7,2023,6.227694585895192,34.0,43,3,9.0,780.4
14,23,7,2023,6.358783265222654,33.9,46,1,18.1,749.4
15,23,7,2023,6.649895428060542,33.4,50,48,14.8,688.7
16,23,7,2023,6.495471279623658,31.4,56,22,19.6,356.3
17,23,7,2023,6.241071741332297,31.0,52,6,23.7,311.5
18,23,7,2023,5.776302321847481,30.7,48,5,24.6,272.2
19,23,7,2023,5.530424032663701,30.0,50,2,21.3,135.8
20,23,7,2023,5.776428089825056,28.4,58,2,18.5,25.0
21,23,7,2023,5.708891714093118,25.9,80,4,20.9,0.0
22,23,7,2023,5.861736013907676,24.9,86,6,14.5,0.0
23,23,7,2023,5.574248637935073,24.3,89,2,13.0,0.0
0,24,7,2023,6.378895871185052,23.8,91,1,11.3,0.0
1,24,7,2023,6.632243970875404,23.5,91,3,9.9,0.0
2,24,7,2023,6.221869205510545,23.1,92,14,8.0,0.0
3,24,7,2023,6.349487173149495,24.7,82,7,13.7,0.0
4,24,7,2023,6.421595240552538,24.7,77,15,15.4,0.0
5,24,7,2023,6.1487541246533,24.4,76,13,16.6,0.0
6,24,7,2023,6.305082363077363,24.0,75,11,15.2,0.0
7,24,7,2023,6.252207342820208,24.7,71,12,17.7,42.6
8,24,7,2023,6.273478267261967,25.7,67,5,21.0,157.7
9,24,7,2023,6.055806796660892,26.7,61,8,20.4,328.3
10,24,7,2023,6.255186786189495,27.8,55,4,20.1,470.5
11,24,7,2023,6.373558815436121,28.6,49,4,20.6,609.1
12,24,7,2023,6.61184514457352,29.3,46,1,20.4,713.4
13,24,7,2023,6.488876949146061,29.7,45,4,21.0,762.2
14,24,7,2023,6.787354857002648,30.0,42,2,20.9,766.2
15,24,7,2023,6.057222351902747,31.2,39,19,16.7,720.4
16,24,7,2023,6.467139401804929,30.0,46,4,21.7,485.6
17,24,7,2023,6.294894744059348,28.9,50,0,23.1,416.6
18,24,7,2023,6.296509975929177,27.9,52,0,21.5,299.6
19,24,7,2023,5.546984671285972,26.9,53,0,21.7,147.2
20,24,7,2023,5.539128782079565,25.5,60,0,19.7,25.8
21,24,7,2023,5.599211081263753,24.5,65,0,15.7,0.0
22,24,7,2023,5.218085311547307,23.8,68,0,14.7,0.0
23,24,7,2023,5.617620487204569,23.2,70,0,12.9,0.0
0,25,7,2023,6.027501161489524,22.7,72,0,11.1,0.0
1,25,7,2023,6.254882773497,22.1,74,0,9.0,0.0
2,25,7,2023,6.3027233208222375,21.4,75,0,7.6,0.0
3,25,7,2023,6.68632703668192,21.2,77,0,4.8,0.0
4,25,7,2023,6.454890286424461,20.0,80,0,6.5,0.0
5,25,7,2023,6.073058412962348,19.7,80,0,6.6,0.0
6,25,7,2023,5.992680659040858,19.7,79,0,4.4,0.0
7,25,7,2023,6.340264119754575,21.8,70,0,7.9,53.0
8,25,7,2023,5.887226025122788,24.3,57,0,6.4,190.0
9,25,7,2023,6.6751490183415365,26.8,46,0,3.8,364.2
10,25,7,2023,6.51214435705827,28.7,39,0,6.5,527.8
11,25,7,2023,6.099990413851772,29.8,38,0,9.3,661.9
12,25,7,2023,5.789000694605229,30.5,38,0,11.5,754.1
13,25,7,2023,6.555752420419301,31.4,32,0,12.7,796.7
14,25,7,2023,6.188649365564793,32.2,28,0,12.8,785.9
15,25,7,2023,6.526738404871313,31.4,31,0,9.9,723.2
16,25,7,2023,5.8186774121793565,32.6,28,0,8.4,611.9
17,25,7,2023,6.067440571139505,33.1,29,4,3.4,466.4
18,25,7,2023,5.718595251807494,32.9,33,3,3.2,296.0
19,25,7,2023,5.729029475319134,32.0,36,1,4.8,141.7
20,25,7,2023,5.604767959008137,30.2,40,4,3.3,24.5
21,25,7,2023,5.872996809964823,27.8,46,0,5.1,0.0
22,25,7,2023,5.4503792195323,27.8,40,0,8.3,0.0
23,25,7,2023,5.6816894556226245,26.9,42,0,9.1,0.0
0,26,7,2023,6.215814937219471,25.7,50,0,7.6,0.0
1,26,7,2023,6.314350737806183,24.3,57,0,6.3,0.0
2,26,7,2023,6.363644748813719,23.3,57,0,9.1,0.0
3,26,7,2023,5.90458050633203,23.1,53,0,8.2,0.0
4,26,7,2023,5.802212486607591,22.9,54,0,5.8,0.0
5,26,7,2023,6.505160234766124,22.0,58,0,6.3,0.0
6,26,7,2023,6.268819532286394,22.9,64,0,8.9,0.0
7,26,7,2023,5.998619395152359,24.3,66,0,10.7,51.7
